playerID,b_G,b_AB,b_R,b_H,b_2B,b_3B,b_HR,b_RBI,b_SB,b_CS,b_BB,b_SO,b_GIDP
aardsda01,331,4,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0
aaronha01,3298,12364,2174,3771,624,98,755,2297.0,240.0,73.0,1402,1383.0,328.0
aaronto01,437,944,102,216,42,6,13,94.0,9.0,8.0,86,145.0,36.0
aasedo01,448,5,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0
abadan01,15,21,1,2,0,0,0,0.0,0.0,1.0,4,5.0,1.0
abadfe01,384,9,0,1,0,0,0,0.0,0.0,0.0,0,5.0,1.0
abadijo01,12,49,4,11,0,0,0,5.0,1.0,0.0,0,3.0,0.0
abbated01,855,3044,355,772,99,43,11,324.0,142.0,0.0,289,283.0,0.0
abbeybe01,79,225,21,38,3,3,0,17.0,3.0,0.0,21,54.0,0.0
abbeych01,452,1756,307,493,67,46,19,280.0,93.0,0.0,167,122.0,0.0
abbotda01,3,7,0,1,0,1,0,1.0,1.0,0.0,0,0.0,0.0
abbotfr01,160,513,48,107,21,6,1,49.0,14.0,0.0,19,75.0,0.0
abbotgl01,248,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abbotje01,233,596,82,157,33,2,18,83.0,6.0,5.0,38,91.0,12.0
abbotji01,263,21,0,2,0,0,0,3.0,0.0,0.0,0,10.0,0.0
abbotku01,702,2044,273,523,109,23,62,242.0,22.0,11.0,133,571.0,37.0
abbotky01,57,31,2,3,1,0,0,2.0,0.0,0.0,1,19.0,0.0
abbotod01,22,70,2,13,2,1,0,6.0,3.0,0.0,6,20.0,0.0
abbotpa01,162,20,2,5,1,0,0,2.0,0.0,0.0,0,6.0,0.0
aberal01,168,100,5,14,0,0,0,6.0,0.0,0.0,8,41.0,2.0
abercda01,1,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abercre01,180,386,65,86,20,2,9,34.0,18.0,8.0,21,123.0,3.0
abernbi01,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abernbr01,232,868,97,212,36,5,8,79.0,21.0,7.0,60,93.0,15.0
abernte01,7,5,0,1,0,0,0,0.0,0.0,0.0,1,3.0,0.0
abernte02,681,181,12,25,3,0,0,9.0,0.0,0.0,6,74.0,4.0
abernwo01,16,8,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0.0
aberscl01,63,179,25,45,7,3,5,26.0,0.0,0.0,25,44.0,6.0
ablesha01,14,26,0,0,0,0,0,0.0,1.0,0.0,0,11.0,0.0
abnersh01,392,840,89,191,39,4,11,71.0,6.0,8.0,43,153.0,14.0
abramca01,567,1611,257,433,64,19,32,138.0,12.0,18.0,304,290.0,22.0
abramge01,3,1,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abregjo01,6,9,0,0,0,0,0,1.0,0.0,0.0,0,2.0,0.0
abreual01,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abreubo01,2425,8480,1453,2470,574,59,288,1363.0,400.0,128.0,1476,1840.0,165.0
