playerID,f_G,f_GS,f_InnOuts,f_PO,f_A,f_E,f_DP
aardsda01,331,0.0,1011.0,11,29,3.0,2
aaronha01,3020,2977.0,78414.0,7436,429,144.0,218
aaronto01,387,206.0,6472.0,1317,113,22.0,124
aasedo01,448,91.0,3328.0,67,135,13.0,10
abadan01,9,4.0,138.0,37,1,1.0,3
abadfe01,384,6.0,992.0,7,37,2.0,2
abadijo01,12,0.0,312.0,129,3,13.0,1
abbated01,830,664.0,21696.0,1873,2368,315.0,247
abbeybe01,79,0.0,1704.0,17,134,22.0,4
abbeych01,452,0.0,11781.0,920,92,100.0,19
abbotda01,3,0.0,39.0,3,4,0.0,0
abbotfr01,153,75.0,3900.0,768,185,40.0,26
abbotgl01,248,206.0,3858.0,113,187,17.0,12
abbotje01,185,140.0,3688.0,299,2,8.0,0
abbotji01,263,254.0,5022.0,72,300,9.0,16
abbotku01,616,504.0,13474.0,938,1262,79.0,275
abbotky01,57,22.0,556.0,6,25,1.0,0
abbotod01,21,20.0,513.0,52,2,1.0,2
abbotpa01,162,112.0,2162.0,61,76,6.0,8
aberal01,168,19.0,924.0,23,79,6.0,6
abercda01,1,1.0,24.0,1,3,2.0,0
abercre01,134,96.0,2624.0,272,7,6.0,2
abernbi01,1,0.0,0.0,0,0,0.0,0
abernbr01,228,217.0,5782.0,445,590,22.0,154
abernte01,7,0.0,0.0,3,4,1.0,0
abernte02,681,34.0,3438.0,92,304,21.0,16
abernwo01,16,0.0,0.0,1,6,0.0,0
aberscl01,49,0.0,0.0,76,8,8.0,2
ablesha01,14,6.0,183.0,1,12,2.0,0
abnersh01,333,199.0,5979.0,566,10,4.0,3
abramca01,445,208.0,5500.0,850,33,21.0,7
abramge01,3,0.0,0.0,0,1,0.0,0
abregjo01,6,5.0,72.0,1,6,1.0,0
abreual01,2,0.0,4.0,0,0,0.0,0
abreubo01,2138,2088.0,54870.0,3952,136,73.0,24
abreubr01,11,0.0,36.0,4,2,0.0,0
abreujo01,8,0.0,0.0,9,15,1.0,1
abreujo02,808,807.0,21301.0,6645,465,56.0,714
abreuju01,7,0.0,20.0,1,0,0.0,0
abreuto01,168,120.0,3375.0,164,327,19.0,66
abreuwi01,38,0.0,133.0,3,2,0.0,0
abstebi01,163,163.0,4425.0,1685,93,41.0,83
accarje01,262,0.0,854.0,13,35,1.0,5
aceveal01,204,15.0,1141.0,24,38,6.0,5
acevejo01,104,59.0,1105.0,19,39,0.0,3
aceveju01,367,34.0,1710.0,42,68,8.0,1
achteaj01,45,0.0,186.0,3,5,1.0,0
ackerji01,467,32.0,2713.0,73,161,2.0,11
ackerto01,153,23.0,1141.0,19,49,1.0,1
ackledu01,610,545.0,14709.0,1144,805,18.0,190
acklefr01,5,4.0,58.0,0,6,0.0,0
acostcy01,107,0.0,559.0,6,21,4.0,3
acosted01,57,8.0,414.0,10,13,1.0,1
acostjo01,55,0.0,0.0,5,38,1.0,0
acostma01,233,0.0,744.0,19,37,4.0,6
acostme01,136,0.0,0.0,191,18,15.0,5
acrema01,114,0.0,381.0,5,9,1.0,0
acunaro01,310,307.0,8030.0,611,13,8.0,1
adairje01,1167,1053.0,28316.0,2380,2878,103.0,618
adairji01,18,0.0,0.0,37,55,5.0,9
adamecr01,101,64.0,1837.0,105,200,8.0,39
adamewi01,290,276.0,7411.0,302,711,40.0,139
adamja01,67,0.0,203.0,3,6,2.0,1
adamsac01,302,0.0,0.0,14,108,5.0,7
adamsau01,68,0.0,226.0,2,9,1.0,0
adamsau02,41,2.0,126.0,3,2,1.0,1
adamsba01,482,46.0,1203.0,58,648,17.0,17
adamsbe01,251,3.0,93.0,802,257,34.0,32
adamsbo01,2,0.0,0.0,0,5,0.0,0
adamsbo02,5,0.0,0.0,2,2,0.0,0
adamsbo03,1066,234.0,6022.0,1748,2262,158.0,371
adamsbo04,3,3.0,81.0,26,1,0.0,1
adamsbu01,527,0.0,0.0,1339,35,29.0,8
adamsch01,22,1.0,125.0,1,3,0.0,0
adamsda01,47,0.0,0.0,14,47,3.0,1
adamsda02,44,38.0,1020.0,56,76,1.0,12
adamsdi01,27,0.0,0.0,171,17,1.0,19
adamsdo01,4,3.0,78.0,9,2,0.0,0
adamsge01,4,0.0,99.0,21,0,4.0,0
adamsgl01,145,115.0,2661.0,183,6,8.0,1
adamshe01,85,0.0,0.0,212,7,5.0,1
adamsji01,1,0.0,21.0,4,1,0.0,0
adamsjo01,1,0.0,12.0,1,3,0.0,2
