playerID,p_W,p_L,p_G,p_GS,p_CG,p_SHO,p_SV,p_IPouts,p_H,p_ER,p_HR,p_BB,p_SO,p_ERA,p_WP,p_BK,p_BFP,p_GF,p_R
aardsda01,16,18,331,0,0,0,69,1011,296,160,41,183,340,46.75,12,1,1475.0,141,169
aasedo01,66,60,448,91,22,5,82,3328,1085,468,89,457,641,45.41,22,3,4730.0,235,503
abadfe01,8,29,384,6,0,0,2,992,309,135,42,116,280,40.81,10,2,1399.0,97,143
abbeybe01,22,40,79,65,52,0,1,1704,686,285,18,192,161,28.07,18,0,2568.0,14,442
abbeych01,0,0,1,0,0,0,0,6,6,1,0,0,0,4.5,1,0,12.0,1,3
abbotda01,0,2,3,1,1,0,1,39,19,9,0,8,1,6.23,3,0,67.0,2,14
abbotgl01,62,83,248,206,37,5,0,3858,1405,627,162,352,484,51.98,18,5,5508.0,13,707
abbotji01,87,108,263,254,31,6,0,5022,1779,791,154,620,888,49.46,53,11,7211.0,5,880
abbotky01,4,17,57,22,0,0,0,556,207,107,26,79,124,33.769999999999996,13,3,815.0,4,112
abbotpa01,43,37,162,112,1,0,0,2162,682,394,101,393,496,66.14,37,0,3187.0,17,421
aberal01,24,25,168,30,7,0,14,1168,398,181,29,160,169,43.55,8,0,1698.0,76,205
abernbi01,0,0,1,0,0,0,1,6,4,3,1,1,0,13.5,0,0,10.0,1,3
abernte01,0,3,7,2,1,0,0,61,31,25,0,17,13,26.020000000000003,1,0,107.0,3,26
abernte02,63,69,681,34,7,2,148,3443,1010,441,70,592,765,67.41,35,3,4963.0,416,513
abernwo01,1,1,16,1,0,0,1,126,36,17,5,11,6,12.379999999999999,0,0,164.0,6,19
ablesha01,1,5,14,8,4,0,0,214,79,32,1,30,41,15.76,5,1,317.0,6,51
abramge01,0,0,3,0,0,0,0,14,10,5,0,3,1,9.64,0,0,24.0,1,5
abregjo01,1,1,6,5,0,0,0,72,32,17,3,12,13,6.38,0,0,109.0,0,18
abreual01,0,1,2,0,0,0,0,4,4,3,1,2,2,20.25,0,0,11.0,1,4
abreubr01,0,0,11,0,0,0,0,36,5,2,0,10,16,3.74,0,0,52.0,3,3
abreuju01,0,0,7,0,0,0,0,20,6,2,1,3,12,2.7,0,0,34.0,2,2
abreuwi01,0,1,38,0,0,0,0,133,57,36,10,19,38,41.650000000000006,2,1,207.0,6,39
accarje01,10,20,262,0,0,0,38,854,288,136,24,111,205,53.49,10,2,1222.0,115,143
aceveal01,31,16,204,15,0,0,29,1141,333,162,48,129,282,28.29,5,6,1599.0,91,172
acevejo01,18,25,104,59,1,0,1,1105,420,235,71,113,253,27.75,9,2,1628.0,11,246
aceveju01,28,40,367,34,0,0,53,1710,597,274,72,226,350,45.08,20,4,2488.0,165,316
achteaj01,2,1,45,0,0,0,0,186,69,27,13,21,33,13.129999999999999,0,0,267.0,22,30
ackerji01,33,49,467,32,0,0,30,2713,918,399,82,329,482,47.519999999999996,31,2,3868.0,159,447
ackerto01,19,13,153,23,5,1,8,1141,365,174,43,150,256,16.009999999999998,6,0,1629.0,35,181
acklefr01,1,0,5,4,0,0,0,58,17,9,4,11,17,10.61,1,0,84.0,1,10
acostcy01,13,9,107,0,0,0,27,558,143,55,15,77,109,13.760000000000002,4,1,768.0,74,65
acosted01,6,9,57,8,3,1,1,413,153,62,12,39,70,20.69,6,2,594.0,22,71
acostjo01,10,10,55,13,6,1,4,640,265,107,9,68,45,16.79,4,0,939.0,28,119
acostma01,13,13,233,0,0,0,9,744,234,110,30,117,219,23.05,14,0,1070.0,78,122
acrema01,9,6,114,0,0,0,2,381,135,73,16,68,98,20.98,3,1,582.0,32,75
adamja01,5,4,67,0,0,0,0,203,54,34,12,33,76,12.32,5,3,291.0,21,37
adamsac01,41,33,302,7,2,0,49,1658,541,213,26,224,171,34.03,15,0,2379.0,218,247
adamsau01,2,0,68,0,0,0,1,226,91,54,12,34,58,44.62,1,0,347.0,30,57
adamsau02,2,2,41,2,0,0,0,126,28,18,5,29,70,20.869999999999997,6,0,183.0,7,20
adamsba01,194,140,482,355,206,44,15,8986,2841,917,68,430,1036,70.94,26,2,11947.0,89,1129
adamsbo01,0,0,2,0,0,0,0,17,10,5,1,3,1,7.94,0,0,28.0,2,5
adamsbo02,0,1,5,1,0,0,0,36,21,7,0,3,5,10.5,0,0,60.0,3,11
adamsch01,1,2,22,1,0,0,1,125,62,39,11,15,33,24.919999999999998,3,1,198.0,7,41
adamsda01,4,11,47,16,6,0,3,513,182,71,5,65,54,8.14,8,0,576.0,24,87
adamsjo01,0,0,1,0,0,0,0,12,9,4,0,2,0,9.0,0,0,23.0,1,6
adamsjo02,5,6,44,11,0,0,0,331,121,60,19,37,77,19.12,0,1,484.0,4,66
